"","year","munCode","mun","totalPop","totalOldPop","births","deaths","totArea","inhabitable","kindergarten","elementary","lowerSecond","upperSecond","employed","percOldPop","birthrate","deathrate","percInhab","percEmpl","education"
"1",2020,"2201","Aomori-ken Aomori-shi",275192,84787,1480,3566,82461,25927,24,43,21,13,127394,30.81012529434,5.37806331579406,12.9582255298119,31.4415299353634,46.2927701386668,101
"2",2020,"2202","Aomori-ken Hirosaki-shi",168466,53922,1041,2435,52420,29399,10,35,18,9,82826,32.007645459618,6.17928840240761,14.4539551007325,56.0835558946967,49.1648166395593,72
"3",2020,"2203","Aomori-ken Hachinohe-shi",223415,69328,1378,2750,30556,20345,16,42,26,14,106198,31.0310408880335,6.16789382986818,12.3089318085178,66.5826678884671,47.5339614618535,98
"4",2020,"2204","Aomori-ken Kuroishi-shi",31946,10943,165,488,21705,7291,2,4,2,3,16654,34.2546797721154,5.16496587992237,15.2757778751643,33.59133840129,52.1317222813498,11
"5",2020,"2205","Aomori-ken Goshogawara-shi",51415,18363,251,799,40420,17136,5,11,6,6,24488,35.7152581931343,4.88184381989692,15.540212000389,42.3948540326571,47.6281240883011,28
"6",2020,"2206","Aomori-ken Towada-shi",60378,20320,327,865,72565,19918,3,16,10,4,29441,33.6546424194243,5.41587995627546,14.3264102818908,27.4484944532488,48.761138162907,33
"7",2020,"2207","Aomori-ken Misawa-shi",39152,10385,323,404,11987,9782,3,7,5,2,19186,26.5248263179403,8.24989783408255,10.3187576624438,81.6050721615083,49.0038823048631,17
"8",2020,"2208","Aomori-ken Mutsu-shi",54103,18249,284,821,86412,13922,8,13,9,4,24989,33.7301073877604,5.24924680701625,15.1747592554942,16.1111882608897,46.1878269227215,34
"9",2020,"2209","Aomori-ken Tsugaru-shi",30934,12002,135,490,25355,21362,1,8,5,1,15508,38.7987327859313,4.36413008340338,15.8401758582789,84.2516268980477,50.1325402469774,15
"10",2020,"2210","Aomori-ken Hirakawa-shi",30567,10777,151,484,34601,9533,1,9,4,2,15866,35.256976477901,4.93996793928092,15.8340694212713,27.5512268431548,51.9056498838617,16
"11",2020,"2301","Aomori-ken Hiranai-machi",10126,4164,33,173,21709,4666,1,3,3,2,5170,41.1218645072092,3.25893738889986,17.0847323721114,21.4933898383159,51.0566857594312,9
"12",2020,"2303","Aomori-ken Imabetsu-machi",2334,1290,7,64,12527,1808,0,1,1,1,951,55.2699228791774,2.99914310197087,27.4207369323051,14.4328250977888,40.745501285347,3
