YEAR Code,YEAR,AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1303_Total population (65 and over)[person],Annotation,A4101_Number of live births[person],Annotation,A4200_Number of deaths[person],Annotation,A5103_Number of in-migrants from other municipalities[person],Annotation,A5104_Number of out-migrants to other municipalities[person],Annotation,B1102_Total land area (Incl. the northern territories and Takeshima)[ha],Annotation,B1103_Inhabitable area[ha],Annotation,"C210710_Number of establishments (Electricity, gas, heat supply and water)[number of establishments]",Annotation,C210712_Number of establishments (Transport and postal activities)[number of establishments],Annotation,C210713_Number of establishments (Wholesale and retail trade)[number of establishments],Annotation,C3109_Area of abandoned cropland[ha],Annotation,D320303_Total welfare expenditure (Municipality)[thousand yen],Annotation,E1101_Number of kindergartens[number of kindergartens],Annotation,E2101_Number of elementary schools[number of schools],Annotation,E3101_Number of lower secondary schools[number of schools],Annotation,E4101_Number of upper secondary schools[number of schools],Annotation,F1102_(Population census) Number of employed persons[person],Annotation,"I1101_Life expectancy (0 years old, Male)[years]",Annotation,"I1102_Life expectancy (0 years old, Female)[years]",Annotation,I5101_Number of hospitals[number of hospitals],Annotation,I5102_Number of general clinics[number of clinics],Annotation,I5103_Number of dental clinics[number of clinics],Annotation,J2301_Number of welfare institutions for the aged (Questionnaire about details)[number of establishments],Annotation,K4201_Number of recognitions of criminal offenses[number of cases],Annotation
2020100000,2020,01100,Hokkaido Sapporo-shi,,"1,973,395",,"541,242",,"12,259",,"20,261",,"119,776",,"109,283",,"112,126",,"43,898",,***,,***,,***,,***,,***,,108,,202,,107,,52,,"845,953",,***,,***,,202,,"1,375",,"1,205",,***,,***,
2020100000,2020,01101,Hokkaido Sapporo-shi Chuo-ku,,"248,680",,"57,544",,"1,542",,"2,256",,"21,102",,"18,650",,"4,642",,"2,685",,***,,***,,***,,***,,***,,14,,16,,10,,8,,"103,712",,***,,***,,39,,384,,280,,***,,***,
2020100000,2020,01102,Hokkaido Sapporo-shi Kita-ku,,"289,323",,"77,275",,"1,723",,"2,881",,"15,578",,"14,238",,"6,357",,"6,319",,***,,***,,***,,***,,***,,14,,32,,17,,9,,"123,763",,***,,***,,23,,179,,166,,***,,***,
2020100000,2020,01103,Hokkaido Sapporo-shi Higashi-ku,,"265,379",,"68,282",,"1,838",,"2,596",,"15,263",,"14,111",,"5,697",,"5,696",,***,,***,,***,,***,,***,,9,,28,,15,,6,,"114,138",,***,,***,,24,,131,,137,,***,,***,
2020100000,2020,01104,Hokkaido Sapporo-shi Shiroishi-ku,,"211,835",,"53,160",,"1,560",,"2,165",,"14,373",,"12,928",,"3,447",,"3,441",,***,,***,,***,,***,,***,,7,,20,,8,,3,,"93,965",,***,,***,,20,,114,,108,,***,,***,
2020100000,2020,01105,Hokkaido Sapporo-shi Toyohira-ku,,"225,298",,"57,056",,"1,598",,"2,175",,"16,501",,"15,030",,"4,623",,"2,624",,***,,***,,***,,***,,***,,14,,22,,11,,6,,"99,943",,***,,***,,15,,135,,128,,***,,***,
2020100000,2020,01106,Hokkaido Sapporo-shi Minami-ku,,"135,777",,"47,992",,646,,"1,809",,"7,633",,"7,303",,"65,748",,"11,376",,***,,***,,***,,***,,***,,15,,20,,10,,6,,"56,155",,***,,***,,15,,73,,67,,***,,***,
2020100000,2020,01107,Hokkaido Sapporo-shi Nishi-ku,,"217,040",,"59,960",,"1,459",,"2,224",,"12,878",,"10,998",,"7,510",,"2,864",,***,,***,,***,,***,,***,,13,,20,,10,,3,,"95,218",,***,,***,,24,,133,,129,,***,,***,
2020100000,2020,01108,Hokkaido Sapporo-shi Atsubetsu-ku,,"125,083",,"40,922",,609,,"1,360",,"5,953",,"6,152",,"2,438",,"2,314",,***,,***,,***,,***,,***,,8,,13,,9,,4,,"52,579",,***,,***,,16,,91,,59,,***,,***,
2020100000,2020,01109,Hokkaido Sapporo-shi Teine-ku,,"142,625",,"44,986",,767,,"1,598",,"6,266",,"5,483",,"5,677",,"3,569",,***,,***,,***,,***,,***,,6,,16,,9,,3,,"59,276",,***,,***,,14,,78,,73,,***,,***,
